REFERENCIA;DESCRICAO;DATA_CADASTRO;UNIDADE;ATIVO;GRUPO;MARCA;GENERO;MATERIAL;TIPO_REPOSICAO;FORNECEDOR_TAG;FORNECEDOR_CNPJ;PRECO_CUSTO;FOTO
74.248.25.MEN;BOLSA BOSSA MASC;24/08/2024;UN;S;BOLSA FEMIN;PRAIANO N;;OUTROS;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;206.17;
27.690.36.ABC;SAIA JUREMA MASC;17/10/2024;PC;N;SAIA JEANS FEMIN;ESSENCE L;FEM;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;34.41;
70.252.50.KIT;CALCA KAIROS MASC;12/01/2019;PC;S;CALÇA TECIDO FEMIN;ORLA N;FEM;POLIÉSTER;;LINHA MESTRA IND E COM DE CONFEC LTDA;;153.84;
19.606.46.MEN;POLO ATELIE SUL MASC;05/11/2021;PC;S;POLO MASC;ORLA L;MASC;OUTROS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;94.56;
89.063.86.000;JAQUETA BOSSA MASC;07/04/2021;PC;N;JAQUETA FEMIN;TROPICAL CO PROMO;FEM;JEANS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;29.72;
77.658.56.FEM;CALCA ORLA;02/01/2024;PC;S;CALÇA JEANS FEMIN;JUREMA L;FEM;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;94.72;
35.802.42.000;VESTIDO FLORADA;01/05/2020;PC;S;VESTIDO UNICO FEMIN;GAROA PROMO;FEM;OUTROS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;302.55;
31.647.76.MEN;SAPATO RAIZ;27/08/2026;PC;S;CALÇADO FEMIN;ATELIE SUL N;FEM;POLIÉSTER;;FIO NOBRE IND E COM DE CONFEC LTDA;;139.76;
03.389.88.FEM;CALCA TROPICAL CO FEM;11/03/2022;PC;S;CALÇA TECIDO FEMIN;HORIZONTE L;FEM;ALGODÃO;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;213.19;
66.540.90.KIT;BLUSA NOS;05/09/2021;UN;S;BLUSA FEMIN;MARE ALTA N;FEM;POLIÉSTER;;MALHARIA MARE IND E COM DE CONFEC LTDA;;297.94;
49.911.14.FEM;BLUSA BOSSA;24/01/2023;PAR;S;BLUSA FEMIN;ICARO L;FEM;LINHO;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;92.27;
92.757.16.KIT;MACACAO GAROA FEM;01/01/2020;UN;S;MACACAO FEMIN;PRAIANO L;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;108.17;
77.288.17.FEM;CAMISA HORIZONTE MASC;15/04/2023;PC;N;CAMISA ML MASC;GAROA PROMO;MASC;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;75.95;
28.226.52.FEM;VESTIDO FLORADA;13/03/2019;UN;S;VESTIDO LONGO FEMIN;VENTO LESTE L;FEM;OUTROS;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;301.84;
17.382.85.KIT;CAMISA PRAIANO;17/05/2026;PC;S;CAMISA ML MASC;ESSENCE N;MASC;OUTROS;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;103.89;
33.190.07.FEM;VESTIDO LUMIERE;20/07/2025;PC;S;VESTIDO UNICO FEMIN;JUREMA L;FEM;OUTROS;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;33.30;
52.123.81.FEM;VESTIDO SAVANA MASC;19/02/2026;PC;S;VESTIDO CURTO FEMIN;NOS PROMO;FEM;OUTROS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;278.71;
20.491.28.FEM;TOP ATELIE SUL FEM;21/09/2026;PC;N;TOP CROPPED FEMIN;DUNA L;FEM;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;130.45;
02.188.87.XPT;VESTIDO BOSSA;15/02/2024;UN;S;VESTIDO CURTO FEMIN;ATELIE SUL PROMO;FEM;ALGODÃO;;LINHA MESTRA IND E COM DE CONFEC LTDA;;304.26;
46.590.91.MEN;CAMISA URUCUM;03/03/2024;UN;N;CAMISA CHEMISE FEMIN;ESSENCE L;FEM;JEANS;;MODA SUL IND E COM DE CONFEC LTDA;;308.28;
90.653.23.KIT;CONJ RAIZ MASC;01/11/2021;PC;S;CONJUNTO FEMIN;PRAIANO L;FEM;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;154.62;
21.397.58.MEN;REGATA HORIZONTE;28/08/2019;UN;S;REGATA FEMIN;ZENITE L;FEM;OUTROS;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;127.63;
08.384.67.ABC;POLO CARIOCA CRU MASC;14/08/2018;PC;S;POLO MASC;ZENITE PROMO;MASC;LINHO;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;34.53;
26.713.87.ABC;VESTIDO ATELIE SUL FEM;11/09/2024;PC;S;VESTIDO CURTO FEMIN;URUCUM L;FEM;ALGODÃO;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;292.68;
93.354.34.XPT;CALCA ORLA FEM;10/03/2025;UN;S;CALÇA JEANS MASC;KAIROS PROMO;MASC;LINHO;;PONTO CERTO IND E COM DE CONFEC LTDA;;224.01;
49.077.02.000;CAMISA BOSSA FEM;21/10/2019;PC;S;CAMISA ML MASC;GAROA N;MASC;SARJA;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;196.56;
44.105.59.FEM;CINTO NOS;14/05/2025;PC;N;CINTO FEMIN;CARIOCA CRU N;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;65.68;
41.189.75.MEN;BOLSA ICARO FEM;14/09/2023;PC;S;BOLSA FEMIN;FLORADA L;FEM;OUTROS;INDIVIDUAL;VESTIR BEM IND E COM DE CONFEC LTDA;;316.85;
24.095.41.000;POLO NOS FEM;22/04/2019;PAR;N;POLO MASC;VENTO LESTE N;MASC;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;233.96;
81.168.49.000;MACACAO LUMIERE MASC;24/03/2025;UN;S;MACACAO FEMIN;ZENITE PROMO;FEM;OUTROS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;263.31;
89.517.51.KIT;MOLETOM PRAIANO;14/04/2025;PC;N;MOLETOM FEMIN;JUREMA PROMO;FEM;OUTROS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;180.59;
25.947.79.000;BIQUINI BOSSA MASC;22/01/2026;PC;S;BIQUINI / MAIO FEMIN;MARE ALTA L;FEM;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;144.89;
94.743.97.KIT;VESTIDO MARE ALTA;09/04/2023;UN;N;VESTIDO MIDI FEMIN;HORIZONTE L;FEM;POLIÉSTER;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;204.60;
19.051.02.000;CAMISA KAIROS MASC;14/01/2024;PC;S;CAMISA CHEMISE FEMIN;GAROA L;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;77.26;
25.311.34.KIT;BOLSA FLORADA FEM;16/12/2026;PC;N;BOLSA FEMIN;JUREMA N;FEM;NYLON;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;157.08;
56.378.68.XPT;CALCA DUNA MASC;27/01/2025;PC;S;CALÇA JEANS MASC;LUMIERE L;MASC;OUTROS;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;176.67;
51.280.31.000;MACACAO HORIZONTE MASC;23/11/2021;PC;S;MACACAO FEMIN;LUMIERE N;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;156.67;
53.442.93.MEN;BLUSA URUCUM MASC;04/11/2018;PAR;S;BLUSA FEMIN;MARE ALTA PROMO;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;236.22;
30.518.54.KIT;SAPATO CARIOCA CRU FEM;20/08/2026;PC;S;CALÇADO MASC;JUREMA L;MASC;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;319.53;
59.459.07.MEN;VESTIDO SAVANA MASC;25/12/2019;PC;S;VESTIDO CURTO FEMIN;ZENITE L;FEM;SARJA;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;120.85;
30.429.81.KIT;CASACO CARIOCA CRU FEM;08/10/2026;PC;S;CASACO FEMIN;HORIZONTE N;FEM;ALGODÃO;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;165.95;
09.353.00.XPT;BIQUINI PRAIANO MASC;02/06/2022;PC;S;BIQUINI / MAIO FEMIN;ESSENCE L;FEM;OUTROS;;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;284.91;
81.157.94.FEM;REGATA LUMIERE FEM;05/02/2022;PC;S;REGATA FEMIN;ESSENCE N;FEM;ALGODÃO;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;302.43;
18.266.81.FEM;MOLETOM ICARO FEM;15/04/2022;UN;S;MOLETOM FEMIN;CARIOCA CRU N;FEM;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;277.45;
63.016.79.KIT;BLAZER FLORADA MASC;16/01/2026;PC;S;BLAZER FEMIN;ESSENCE L;FEM;OUTROS;;COSTURA VIVA IND E COM DE CONFEC LTDA;;71.14;
91.233.07.000;SAPATO ICARO FEM;08/10/2018;PC;S;CALÇADO FEMIN;CARIOCA CRU N;FEM;OUTROS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;276.11;
60.579.81.FEM;VESTIDO QUINTAL FEM;09/05/2019;PC;S;VESTIDO MIDI FEMIN;OUTROS;FEM;JEANS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;277.82;
61.653.38.XPT;CAMISA BOSSA;06/01/2023;PC;S;CAMISA ML MASC;PRAIANO L;MASC;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;46.78;
17.505.40.KIT;CAMISETA CARIOCA CRU;28/01/2021;PC;S;CAMISETA FEMIN;DUNA L;FEM;ALGODÃO;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;262.07;
05.257.52.MEN;BODY KAIROS MASC;07/07/2021;UN;S;BODY FEMIN;RAIZ L;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;132.07;
43.907.81.XPT;PERFUME LUMIERE MASC;24/08/2026;PC;S;PERFUMARIA FEMIN;CARIOCA CRU L;FEM;ALGODÃO;;MALHARIA MARE IND E COM DE CONFEC LTDA;;190.59;
58.898.26.XPT;CALCA HORIZONTE FEM;06/10/2026;UN;S;CALÇA TECIDO FEMIN;NOS N;;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;114.34;
66.645.29.MEN;CINTO NOS FEM;17/04/2023;PAR;S;CINTO FEMIN;KAIROS N;FEM;MOLETOM;;PONTO CERTO IND E COM DE CONFEC LTDA;;100.28;
30.207.47.XPT;CAMISA TROPICAL CO MASC;19/01/2026;PAR;S;CAMISA ML MASC;VENTO LESTE L;MASC;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;291.31;
94.520.67.XPT;PERFUME LUMIERE;23/04/2020;PC;S;PERFUMARIA FEMIN;BOSSA N;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;292.48;
59.596.57.KIT;SAIA PRAIANO;19/08/2018;PAR;S;SAIA JEANS FEMIN;LUMIERE N;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;267.47;
02.309.48.XPT;OCULOS MARE ALTA MASC;26/06/2023;UN;S;OCULOS FEMIN;ZENITE N;FEM;ALGODÃO;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;218.95;
64.463.50.XPT;BERMUDA SAVANA MASC;09/08/2022;PC;S;BERMUDA TECIDO FEMIN;ATELIE SUL PROMO;FEM;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;255.87;
62.240.22.000;BERMUDA TROPICAL CO FEM;24/10/2018;PC;S;BERMUDA TECIDO FEMIN;VENTO LESTE N;FEM;JEANS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;62.55;
49.292.78.KIT;REGATA TROPICAL CO FEM;23/01/2022;PC;N;REGATA FEMIN;BOSSA N;FEM;MOLETOM;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;158.62;
38.542.26.FEM;VESTIDO VENTO LESTE;14/05/2019;PC;N;VESTIDO LONGO FEMIN;LUMIERE L;FEM;NYLON;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;304.84;
41.175.79.FEM;CAMISA CARIOCA CRU MASC;13/02/2026;PC;S;CAMISA ML MASC;TROPICAL CO N;MASC;JEANS;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;86.94;
27.372.29.ABC;TOP GAROA;27/09/2025;PC;S;TOP CROPPED FEMIN;LUMIERE N;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;137.47;
56.967.44.KIT;BODY URUCUM MASC;04/08/2024;PC;S;BODY FEMIN;KAIROS L;FEM;JEANS;;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;152.71;
40.277.92.000;CALCA ESSENCE MASC;22/12/2018;PC;S;CALÇA JEANS MASC;MARE ALTA N;MASC;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;102.84;
38.070.99.000;CALCA KAIROS;20/01/2019;PC;S;CALÇA TECIDO FEMIN;FLORADA L;FEM;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;167.36;
18.494.04.MEN;BERMUDA JUREMA;08/03/2024;PC;S;BERMUDA JEANS FEMIN;FLORADA N;FEM;COMBO;;COSTURA VIVA IND E COM DE CONFEC LTDA;;299.81;
47.213.38.FEM;OCULOS URUCUM;12/06/2025;PC;N;OCULOS FEMIN;GAROA PROMO;FEM;NYLON;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;221.17;
14.041.47.FEM;REGATA ICARO;20/01/2026;UN;S;REGATA FEMIN;CARIOCA CRU L;FEM;ALGODÃO;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;261.57;
91.885.08.000;CONJ GAROA MASC;06/10/2023;PC;S;CONJUNTO FEMIN;ICARO N;FEM;OUTROS;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;190.63;
87.996.42.000;CINTO PRAIANO;23/05/2021;PC;S;CINTO FEMIN;OUTROS;FEM;MOLETOM;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;141.34;
50.839.95.FEM;VESTIDO ORLA FEM;27/04/2019;PC;S;VESTIDO CURTO FEMIN;KAIROS N;FEM;JEANS;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;53.76;
87.218.42.XPT;BERMUDA ICARO;02/09/2023;PC;S;BERMUDA JEANS FEMIN;ATELIE SUL PROMO;FEM;OUTROS;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;159.01;
83.155.07.XPT;CAMISA TROPICAL CO FEM;06/09/2020;PC;N;CAMISA ML MASC;CARIOCA CRU N;MASC;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;124.81;
51.657.71.XPT;SAPATO QUINTAL MASC;20/08/2023;UN;S;CALÇADO FEMIN;ZENITE L;FEM;OUTROS;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;152.37;
80.848.84.MEN;PERFUME RAIZ FEM;05/04/2023;PAR;S;PERFUMARIA FEMIN;ATELIE SUL N;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;155.12;
11.092.66.FEM;BOLSA QUINTAL FEM;25/02/2018;UN;S;BOLSA FEMIN;NOS PROMO;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;134.98;
21.776.38.ABC;VESTIDO RAIZ;13/01/2022;PC;S;VESTIDO CURTO FEMIN;MARE ALTA PROMO;FEM;OUTROS;;PONTO CERTO IND E COM DE CONFEC LTDA;;303.42;
07.010.14.MEN;POLO JUREMA MASC;12/09/2022;PC;S;POLO MASC;DUNA PROMO;MASC;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;79.89;
09.230.90.MEN;CONJ TROPICAL CO FEM;17/12/2020;PAR;S;CONJUNTO FEMIN;URUCUM L;FEM;OUTROS;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;274.47;
28.034.59.XPT;VESTIDO ZENITE FEM;26/01/2020;PC;S;VESTIDO CURTO FEMIN;LUMIERE L;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;121.92;
38.785.76.FEM;BERMUDA ZENITE;20/02/2022;PC;S;BERMUDA JEANS FEMIN;QUINTAL N;FEM;ALGODÃO;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;296.04;
90.367.77.000;VESTIDO TROPICAL CO FEM;27/09/2020;PC;S;VESTIDO MIDI FEMIN;URUCUM N;FEM;COMBO;;TRAMA FINA IND E COM DE CONFEC LTDA;;61.64;
02.931.21.MEN;POLO JUREMA MASC;02/11/2023;PC;S;POLO MASC;SAVANA L;MASC;OUTROS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;50.37;
54.958.04.KIT;OCULOS QUINTAL;16/03/2023;UN;S;OCULOS FEMIN;MARE ALTA N;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;262.12;
73.670.94.XPT;MACACAO RAIZ MASC;23/10/2021;PC;S;MACACAO FEMIN;BOSSA N;FEM;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;287.64;
00.950.28.MEN;PERFUME DUNA FEM;22/10/2025;PC;S;PERFUMARIA FEMIN;CARIOCA CRU L;FEM;ALGODÃO;;FIO NOBRE IND E COM DE CONFEC LTDA;;297.59;
57.801.39.MEN;CALCA GAROA;26/05/2023;PAR;S;CALÇA JEANS MASC;OUTROS;MASC;ALGODÃO;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;20.90;
00.569.22.XPT;CAMISETA VENTO LESTE;28/09/2023;UN;S;CAMISETA FEMIN;DUNA N;FEM;LINHO;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;45.96;
93.276.56.ABC;CALCA SAVANA FEM;07/12/2025;PC;S;CALÇA JEANS MASC;NOS PROMO;MASC;NYLON;;FIO NOBRE IND E COM DE CONFEC LTDA;;286.71;
70.109.01.000;REGATA HORIZONTE;22/09/2026;PC;S;REGATA FEMIN;ZENITE PROMO;FEM;COMBO;;VESTIR BEM IND E COM DE CONFEC LTDA;;57.30;
11.694.20.ABC;CAMISA LUMIERE MASC;25/01/2021;UN;S;CAMISA ML MASC;MARE ALTA N;MASC;OUTROS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;93.34;
07.081.57.FEM;BIQUINI DUNA MASC;05/10/2019;UN;S;BIQUINI / MAIO FEMIN;FLORADA L;FEM;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;155.16;
92.196.62.XPT;TOP RAIZ FEM;12/06/2019;PC;N;TOP CROPPED FEMIN;LUMIERE L;FEM;COURO;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;30.33;
17.653.07.ABC;PERFUME VENTO LESTE FEM;18/12/2024;PAR;S;PERFUMARIA FEMIN;ZENITE N;FEM;OUTROS;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;99.85;
50.888.81.XPT;VESTIDO GAROA;01/03/2018;UN;S;VESTIDO CURTO FEMIN;QUINTAL PROMO;FEM;OUTROS;;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;35.15;
51.595.00.FEM;TOP QUINTAL FEM;20/07/2022;PAR;S;TOP CROPPED FEMIN;PRAIANO N;FEM;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;197.90;
03.287.92.FEM;BLAZER QUINTAL MASC;26/02/2026;PAR;S;BLAZER FEMIN;QUINTAL L;FEM;ALGODÃO;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;20.48;
16.177.25.XPT;MOLETOM DUNA MASC;01/01/2026;PC;S;MOLETOM FEMIN;OUTROS;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;164.07;
23.764.18.000;SAIA VENTO LESTE;03/05/2021;PC;S;SAIA TECIDO FEMIN;GAROA PROMO;FEM;OUTROS;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;299.99;
32.301.77.KIT;BOLSA BOSSA FEM;22/03/2021;UN;S;BOLSA FEMIN;SAVANA N;FEM;OUTROS;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;136.56;
59.424.19.KIT;VESTIDO BOSSA MASC;21/11/2024;PAR;S;VESTIDO CURTO FEMIN;URUCUM N;FEM;COURO;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;119.90;
32.276.18.000;CAMISETA HORIZONTE FEM;17/06/2020;PC;N;CAMISETA MC MASC;QUINTAL L;MASC;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;175.38;
47.537.49.FEM;REGATA VENTO LESTE FEM;11/02/2022;PC;S;REGATA FEMIN;ATELIE SUL N;FEM;MOLETOM;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;18.96;
14.798.00.MEN;POLO RAIZ FEM;18/02/2021;PC;N;POLO MASC;JUREMA N;MASC;ALGODÃO;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;227.88;
98.100.54.000;SAIA VENTO LESTE MASC;09/08/2019;UN;N;SAIA JEANS FEMIN;CARIOCA CRU L;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;129.03;
58.603.64.XPT;POLO ATELIE SUL FEM;02/11/2024;PC;S;POLO MASC;TROPICAL CO N;MASC;OUTROS;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;149.01;
47.615.43.FEM;BOLSA JUREMA FEM;14/02/2026;PAR;S;BOLSA FEMIN;URUCUM L;FEM;OUTROS;;VESTIR BEM IND E COM DE CONFEC LTDA;;282.25;
89.494.13.000;CASACO KAIROS;20/09/2021;PC;N;CASACO FEMIN;ATELIE SUL N;FEM;OUTROS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;149.52;
24.631.82.FEM;VESTIDO SAVANA MASC;11/07/2020;UN;N;VESTIDO UNICO FEMIN;ESSENCE L;FEM;ALGODÃO;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;207.97;
47.607.29.MEN;PERFUME BOSSA;06/11/2023;UN;N;PERFUMARIA FEMIN;NOS N;FEM;OUTROS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;218.26;
01.007.89.XPT;BLUSA ATELIE SUL MASC;24/09/2024;PAR;S;BLUSA FEMIN;QUINTAL N;FEM;OUTROS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;152.47;
75.226.43.ABC;BERMUDA ORLA MASC;04/05/2024;PC;S;BERMUDA TECIDO FEMIN;URUCUM L;FEM;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;204.21;
41.507.38.000;CAMISA TROPICAL CO FEM;19/06/2025;UN;S;CAMISA ML MASC;URUCUM L;MASC;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;312.14;
53.542.07.FEM;POLO RAIZ MASC;23/04/2026;PC;S;POLO MASC;ICARO L;MASC;COMBO;;COSTURA VIVA IND E COM DE CONFEC LTDA;;144.21;
32.017.55.XPT;CINTO ATELIE SUL MASC;27/12/2019;PC;S;CINTO FEMIN;ICARO L;FEM;POLIÉSTER;INDIVIDUAL;VESTIR BEM IND E COM DE CONFEC LTDA;;232.93;
93.062.53.MEN;CAMISA ATELIE SUL MASC;07/04/2024;PC;S;CAMISA CHEMISE FEMIN;ATELIE SUL N;FEM;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;305.18;
55.415.01.FEM;BERMUDA LUMIERE;27/08/2023;PC;S;BERMUDA TECIDO FEMIN;GAROA PROMO;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;153.20;
11.285.52.MEN;CAMISA JUREMA MASC;12/06/2021;UN;N;CAMISA ML MASC;BOSSA N;MASC;ALGODÃO;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;339.59;
36.914.85.ABC;BODY NOS FEM;25/09/2025;PC;S;BODY FEMIN;DUNA L;FEM;LINHO;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;125.12;
73.835.24.MEN;CALCA VENTO LESTE;10/09/2023;PC;N;CALÇA JEANS MASC;ZENITE L;MASC;OUTROS;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;158.53;
33.607.56.XPT;SAPATO NOS MASC;20/08/2018;PC;S;CALÇADO MASC;RAIZ N;MASC;JEANS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;248.58;
37.332.07.000;BLUSA LUMIERE FEM;22/09/2018;UN;S;BLUSA FEMIN;CARIOCA CRU N;FEM;ALGODÃO;;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;98.14;
58.958.32.MEN;CASACO ZENITE;21/04/2026;UN;S;CASACO FEMIN;MARE ALTA L;FEM;OUTROS;;COSTURA VIVA IND E COM DE CONFEC LTDA;;34.44;
90.978.35.ABC;REGATA HORIZONTE FEM;06/08/2025;PC;S;REGATA FEMIN;FLORADA N;FEM;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;214.24;
13.177.08.KIT;REGATA ESSENCE MASC;13/12/2022;PC;N;REGATA FEMIN;FLORADA L;FEM;OUTROS;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;102.92;
19.227.28.KIT;SAIA CARIOCA CRU FEM;16/12/2025;PC;S;SAIA JEANS FEMIN;NOS PROMO;FEM;MOLETOM;;FIO NOBRE IND E COM DE CONFEC LTDA;;306.85;
36.836.62.ABC;VESTIDO URUCUM FEM;22/07/2026;PC;N;VESTIDO LONGO FEMIN;DUNA N;FEM;ALGODÃO;;PONTO CERTO IND E COM DE CONFEC LTDA;;133.10;
56.605.52.XPT;VESTIDO ATELIE SUL;11/10/2022;PC;S;VESTIDO MIDI FEMIN;ZENITE PROMO;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;12.40;
87.411.11.000;CINTO SAVANA MASC;09/09/2020;UN;S;CINTO FEMIN;FLORADA N;FEM;ALGODÃO;;ATELIE NORTE IND E COM DE CONFEC LTDA;;246.22;
19.539.26.KIT;CAMISETA NOS;25/01/2018;PC;S;CAMISETA MC MASC;CARIOCA CRU L;MASC;JEANS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;274.22;
85.825.45.ABC;BOLSA BOSSA MASC;13/10/2024;PAR;N;BOLSA FEMIN;HORIZONTE N;FEM;OUTROS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;295.72;
